02,03,10,20,23,60
03,10,23,24,42,60
03,10,18,23,35,60
03,10,23,29,47,60
02,03,10,20,24,42
02,03,10,18,20,35
02,03,10,20,29,47
03,10,18,24,35,42
03,10,24,29,42,47
03,10,18,29,35,47
02,20,23,24,42,60
02,18,20,23,35,60
02,20,23,29,47,60
18,23,24,35,42,60
23,24,29,42,47,60
18,23,29,35,47,60
02,18,20,24,35,42
02,20,24,29,42,47
02,18,20,29,35,47
18,24,29,35,42,47
04,30,34,37,56,59
04,08,30,34,48,56
04,14,30,34,55,56
04,06,13,30,34,56
08,34,37,48,56,59
14,34,37,55,56,59
06,13,34,37,56,59
08,14,34,48,55,56
06,08,13,34,48,56
06,13,14,34,55,56
04,08,30,37,48,59
04,14,30,37,55,59
04,06,13,30,37,59
04,08,14,30,48,55
04,06,08,13,30,48
04,06,13,14,30,55
08,14,37,48,55,59
06,08,13,37,48,59
06,13,14,37,55,59
06,08,13,14,48,55
12,19,22,28,50,54
12,19,22,28,44,58
05,12,19,22,28,40
07,12,19,21,22,28
19,28,44,50,54,58
05,19,28,40,50,54
07,19,21,28,50,54
05,19,28,40,44,58
07,19,21,28,44,58
05,07,19,21,28,40
12,22,44,50,54,58
05,12,22,40,50,54
07,12,21,22,50,54
05,12,22,40,44,58
07,12,21,22,44,58
05,07,12,21,22,40
05,40,44,50,54,58
07,21,44,50,54,58
05,07,21,40,50,54
05,07,21,40,44,58
09,11,31,38,43,57
09,11,17,38,39,57
01,09,11,38,53,57
09,11,25,26,38,57
09,11,17,31,39,43
01,09,11,31,43,53
09,11,25,26,31,43
01,09,11,17,39,53
09,11,17,25,26,39
01,09,11,25,26,53
17,31,38,39,43,57
01,31,38,43,53,57
25,26,31,38,43,57
01,17,38,39,53,57
17,25,26,38,39,57
01,25,26,38,53,57
01,17,31,39,43,53
17,25,26,31,39,43
01,25,26,31,43,53
01,17,25,26,39,53
15,16,32,33,46,51
15,16,27,32,45,46
15,16,32,36,41,46
15,16,32,46,49,52
27,32,33,45,46,51
32,33,36,41,46,51
32,33,46,49,51,52
27,32,36,41,45,46
27,32,45,46,49,52
32,36,41,46,49,52
15,16,27,33,45,51
15,16,33,36,41,51
15,16,33,49,51,52
15,16,27,36,41,45
15,16,27,45,49,52
15,16,36,41,49,52
27,33,36,41,45,51
27,33,45,49,51,52
33,36,41,49,51,52
27,36,41,45,49,52
05,10,23,36,45,53
