09,25,36,43,48,52
06,10,13,25,39,59
08,09,15,25,28,45
08,32,37,44,46,52
04,28,29,36,48,50
01,16,33,37,45,48
28,36,43,46,48,53
02,03,04,15,37,40
01,17,18,24,33,49
02,07,17,19,35,38
11,12,21,46,48,54
12,15,31,34,36,59
30,33,40,43,47,49
03,20,34,41,48,51
01,20,26,45,53,54
12,15,28,39,40,43
28,30,42,52,53,59
11,13,36,38,45,58
01,12,17,28,45,55
09,13,19,52,53,60
11,12,19,25,31,48
01,12,17,28,47,58
05,14,16,17,18,21
10,24,28,40,45,52
10,18,23,38,44,55
01,02,25,30,39,40
06,20,22,36,52,58
05,16,23,25,36,49
10,22,24,26,50,52
04,31,32,35,45,47
04,10,20,26,31,39
01,31,37,48,54,60
18,21,28,34,40,46
01,15,17,20,25,50
10,19,30,43,46,50
07,11,17,40,48,55
06,08,10,23,39,55
21,27,35,40,54,58
08,11,23,45,58,60
04,05,26,28,38,47
29,31,39,45,52,60
44,47,48,51,53,58
01,14,30,32,45,53
07,18,20,38,48,58
07,22,32,40,46,48
01,06,07,17,45,54
01,17,22,36,56,57
03,12,19,23,27,52
16,29,34,35,45,46
17,18,24,28,49,58
